Brnd_Name,Tot_Drug_Cst,Tot_Clms,Cost_Per_Claim
Trinatal Rx 1,5291.800000000001,471,11.235244161358814
Trogarzo,9943159.45,1002,9923.312824351297
Truvada,1373482.9800000002,791,1736.3880910240205
Tyenne Autoinjector,1208254.42,556,2173.1194604316547
Volnea,8203.089999999997,423,19.39264775413711
Xeomin,1623025.97,1334,1216.6611469265367
Yuflyma(Cf) Autoinject (2 Pck),7913414.729999999,889,8901.478886389199
Zafemy,84742.54999999999,828,102.34607487922703
Advocate Pen Needle,68737.33,546,125.89254578754579
Anafranil,307865.17,74,4160.340135135135
Aurovela 24 Fe,2892.0299999999997,93,31.097096774193545
Darzalex,14190908.810000004,1435,9889.135059233453
Diuril,3794.0,44,86.22727272727273
Hadlima(Cf),215220.06000000003,219,982.7400000000001
Kelnor 1-35,11223.779999999999,569,19.72544815465729
Lithium Citrate,24659.199999999997,198,124.54141414141412
Lithobid,265775.23,300,885.9174333333333
Onzetra Xsail,95149.51000000001,105,906.1858095238097
Pyrazinamide,75311.45000000001,331,227.5270392749245
Quillichew Er,88055.18000000001,206,427.45233009708744
Regranex,198106.32,118,1678.867118644068
Ritalin La,119455.41,227,526.2352863436123
Se-Natal 19,6459.3099999999995,256,25.231679687499998
Selzentry,2240994.0399999996,1168,1918.6592808219175
Strattera,292037.06000000006,509,573.7466797642437
Symlinpen 60,272986.17,205,1331.6398536585366
Trandolapril-Verapamil Er,62560.25999999999,412,151.8452912621359
Zanaflex,76735.23999999999,215,356.9080930232558
Amoxicillin-Clavulanate Pot Er,61838.56,646,95.72532507739938
Amvuttra,51018737.10000001,433,117826.18267898385
Brompheniramine-Pseudoephed-Dm,3171.7899999999995,148,21.43101351351351
Diacomit,1031667.1900000001,180,5731.484388888889
Dobutamine Hcl-D5w,11915.58,96,124.120625
Flomax,300101.01000000007,649,462.40525423728826
Forfivo Xl,17572.309999999998,38,462.4292105263157
Hyzaar,136052.23,728,186.88493131868134
Intuniv,61762.83,182,339.3562087912088
Isibloom,16707.780000000002,1063,15.717572906867359
Ketoprofen,694981.4099999999,817,850.6504406364749
Levemir Flextouch,94082.87,574,163.90743902439024
Levonest,2054.1800000000003,125,16.43344
Lidocan Iii,177173.53,89,1990.713820224719
Lotrel,238973.23,569,419.98810193321617
Lysodren,996606.6799999999,457,2180.758599562363
Myfembree,432280.02999999997,362,1194.143729281768
Mysoline,3682626.73,837,4399.792986857826
Naproxen Sodium Er,802924.8999999998,910,882.3350549450547
Narcan,141788.56999999998,1161,122.12624461670971
Nilutamide,614804.75,189,3252.935185185185
Nitrostat,10315.400000000001,140,73.68142857142858
Nutropin Aq Nuspin,1836774.77,662,2774.5842447129908
Oxcarbazepine Er,151534.78,152,996.9393421052631
Padcev,4310820.28,181,23816.686629834254
Penicillamine,2514154.5199999996,618,4068.2111974110026
Phenylephrine Hcl,30417.100000000002,828,36.73562801932368
Samsca,3732485.93,305,12237.658786885246
